ID;Country;Continent;Price;Highest.point;Lowest.point;Beginner.slopes;Intermediate.slopes;Difficult.slopes;Total.slopes;Longest.run;Snow.cannons;Surface.lifts;Chair.lifts;Gondola.lifts;Total.lifts;Lift.capacity;Child.friendly;Snowparks;Nightskiing;Summer.skiing
215;United States;North America;76;2225;1378;13;45;31;89;4;0;0;11;0;11;20603;Yes;Yes;Yes;No
216;United States;North America;98;2555;2098;15;40;34;89;4;0;2;12;1;15;25544;Yes;Yes;No;No
217;United States;North America;114;3369;2424;18;48;22;88;6;120;9;22;3;34;54830;Yes;Yes;No;No
218;United States;North America;110;3815;2659;6;51;29;86;7;0;4;11;5;20;22638;Yes;Yes;No;No
219;Switzerland;Europe;55;1260;1072;44;38;6;88;6;500;12;8;6;26;34620;Yes;Yes;Yes;No
220;Switzerland;Europe;54;2011;948;62;21;4;87;0;0;9;8;4;21;18360;Yes;Yes;Yes;No
221;United States;North America;83;1240;452;17;40;30;87;5;351;3;13;0;16;25652;Yes;Yes;No;No
222;Austria;Europe;36;2007;1079;3;6;2;11;0;0;1;2;0;3;3352;Yes;No;No;No
223;Canada;North America;60;2410;1698;26;26;34;86;5;0;1;6;0;7;11600;Yes;Yes;No;No
224;France;Europe;35;1835;1113;28;50;7;85;0;0;16;8;1;25;29842;Yes;No;No;No
225;United States;North America;76;3299;2680;15;40;30;85;0;0;2;9;0;11;16700;Yes;Yes;No;No
226;France;Europe;37;2100;1000;49;27;8;84;0;233;18;13;2;33;36904;Yes;Yes;Yes;No
227;United States;North America;85;957;250;30;40;14;84;4;0;1;13;1;15;29950;Yes;Yes;Yes;No
228;Austria;Europe;52;2378;600;28;41;13;82;11;400;22;12;5;39;59933;Yes;Yes;Yes;No
229;Japan;Asia;39;2307;1335;41;30;12;83;0;0;0;54;4;58;83750;Yes;Yes;Yes;No
230;Switzerland;Europe;51;2900;1570;26;28;26;80;0;96;13;5;3;21;19345;Yes;Yes;No;No
231;Canada;North America;49;1982;1230;15;35;30;80;6;11;2;3;0;5;5452;Yes;Yes;Yes;No
232;Italy;Europe;43;2100;1000;30;44;6;80;0;100;10;10;3;23;33289;Yes;Yes;Yes;No
233;France;Europe;37;1400;720;40;25;15;80;0;0;11;6;2;19;21320;Yes;Yes;No;No
234;Lebanon;Asia;51;2465;1850;46;30;4;80;0;0;0;0;0;0;0;Yes;No;No;No
235;United States;North America;0;3005;2182;30;30;20;80;4;0;4;11;0;15;14886;Yes;No;No;No
236;Austria;Europe;49;2050;690;37;39;1;77;7;130;10;13;2;25;37160;Yes;Yes;No;No
237;Canada;North America;60;875;230;16;25;37;78;6;1041;3;8;3;14;24700;Yes;Yes;No;No
238;United States;North America;65;1112;314;13;41;24;78;4;0;3;6;0;9;7053;Yes;Yes;No;No
239;Russia;Europe;22;2320;940;30;26;21;77;7;450;6;11;10;27;49228;Yes;Yes;No;No
240;Austria;Europe;50;2000;760;30;28;19;77;6;450;9;10;8;27;48407;Yes;Yes;Yes;No
241;Spain;Europe;42;2621;1505;35;27;14;76;0;0;10;9;0;19;20670;Yes;Yes;No;No
242;United States;North America;70;1175;563;15;31;30;76;0;0;2;6;1;9;11675;Yes;No;No;No
243;Italy;Europe;51;2200;1130;17;39;18;74;4;250;20;4;6;30;21535;Yes;Yes;No;No
244;France;Europe;34;2677;1407;28;34;13;75;0;95;4;8;0;12;17155;Yes;Yes;Yes;No
245;United States;North America;62;3256;2591;40;28;7;75;4;0;2;5;0;7;7200;Yes;Yes;Yes;No
246;Italy;Europe;40;1850;1200;36;32;5;73;3;280;13;17;0;30;35900;Yes;Yes;No;No
247;Switzerland;Europe;57;3020;1000;34;26;12;72;12;180;7;6;7;20;23316;Yes;Yes;No;No
248;Norway;Europe;46;1100;415;33;18;20;71;5;418;29;7;0;36;36182;Yes;Yes;Yes;No
249;Austria;Europe;42;2850;1400;24;34;13;71;9;92;11;5;1;17;17651;Yes;Yes;No;No
250;United States;North America;49;2682;1860;20;26;25;71;5;0;1;8;0;9;11900;Yes;Yes;No;No
